geneName	CHR	geneStart	geneEnd	orientation	geneLength	effectorP	signalP	cazym	pfam
SLangusT_00366	Scaffold_2	23387	25033	+	1646.0	NO	NO	NO	tRNA synthetases class I (W and Y)_pfam00579
SLangusT_00367	Scaffold_2	25214	25654	-	440.0	NO	NO	NO	NO
SLangusT_00368	Scaffold_2	26391	28102	-	1711.0	NO	NO	NO	Seryl-tRNA synthetase N-terminal domain_pfam02403;tRNA synthetase class II core domain (G, H, P, S and T)_pfam00587
SLangusT_00369	Scaffold_2	28617	29386	-	769.0	0.943	NO	NO	Ras family_pfam00071
SLangusT_00370	Scaffold_2	30436	33404	-	2968.0	NO	NO	NO	Wings apart-like protein regulation of heterochromatin_pfam07814
SLangusT_00371	Scaffold_2	34451	35400	+	949.0	NO	NO	NO	Uracil phosphoribosyltransferase_pfam14681
SLangusT_00372	Scaffold_2	35638	36247	-	609.0	NO	NO	NO	Transcription elongation factor Elf1 like_pfam05129
SLangusT_00373	Scaffold_2	37229	40252	+	3023.0	NO	NO	NO	GTP cyclohydrolase N terminal_pfam12471;GTP cyclohydrolase II_pfam00925
SLangusT_00374	Scaffold_2	41035	41524	+	489.0	NO	NO	NO	NO
SLangusT_00375	Scaffold_2	43755	45477	-	1722.0	NO	NO	NO	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain_pfam02826;D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain_pfam00389
SLangusT_00376	Scaffold_2	46040	47122	+	1082.0	NO	NO	NO	Ribosomal S3Ae family_pfam01015
SLangusT_00377	Scaffold_2	47479	48423	+	944.0	0.982	NO	NO	Ras family_pfam00071
SLangusT_00378	Scaffold_2	48672	49662	-	990.0	NO	NO	CE10.hmm	alpha/beta hydrolase fold_pfam00561
SLangusT_00379	Scaffold_2	50737	52502	+	1765.0	NO	NO	NO	Peptidase family C78_pfam07910
SLangusT_00380	Scaffold_2	53757	55550	-	1793.0	NO	NO	NO	Protein kinase domain_pfam00069
SLangusT_00381	Scaffold_2	56128	56424	+	296.0	NO	NO	NO	NO
SLangusT_00382	Scaffold_2	56605	58080	-	1475.0	NO	NO	NO	Mycolic acid cyclopropane synthetase_pfam02353
SLangusT_00383	Scaffold_2	58614	63242	-	4628.0	NO	NO	NO	E1-E2 ATPase_pfam00122;haloacid dehalogenase-like hydrolase_pfam00702;P5-type ATPase cation transporter_pfam12409
SLangusT_00384	Scaffold_2	63688	65117	+	1429.0	NO	NO	NO	Nucleosome assembly protein (NAP)_pfam00956
SLangusT_00385	Scaffold_2	66766	67269	+	503.0	0.989	NO	NO	NO
SLangusT_00386	Scaffold_2	68697	73719	+	5022.0	NO	NO	NO	IQ calmodulin-binding motif_pfam00612;DIL domain_pfam01843;Myosin head (motor domain)_pfam00063
SLangusT_00387	Scaffold_2	75174	75979	+	805.0	NO	NO	NO	NO
SLangusT_00388	Scaffold_2	76090	78521	-	2431.0	NO	NO	NO	Cytochrome P450_pfam00067
SLangusT_00389	Scaffold_2	78898	79747	+	849.0	0.939	NO	NO	Ham1 family_pfam01725
SLangusT_00390	Scaffold_2	79844	80619	-	775.0	NO	NO	NO	AAA domain_pfam13238
SLangusT_00391	Scaffold_2	81283	82851	-	1568.0	NO	NO	NO	5'-AMP-activated protein kinase beta subunit, interaction domain_pfam04739;Glycogen recognition site of AMP-activated protein kinase_pfam16561
SLangusT_00392	Scaffold_2	83548	84113	+	565.0	0.965	NO	NO	NO
SLangusT_00393	Scaffold_2	84196	85245	-	1049.0	NO	NO	NO	Glycoprotease family_pfam00814
SLangusT_00394	Scaffold_2	85757	87419	+	1662.0	NO	NO	NO	SET domain_pfam00856;Rubisco LSMT substrate-binding_pfam09273
SLangusT_00395	Scaffold_2	87782	89624	-	1842.0	NO	NO	NO	Enhancer of polycomb-like_pfam10513
SLangusT_00396	Scaffold_2	90504	91323	+	819.0	NO	NO	NO	EF-hand domain pair_pfam13499;EF hand_pfam13202
SLangusT_00397	Scaffold_2	96818	98451	+	1633.0	0.893	NO	NO	NO
SLangusT_00398	Scaffold_2	103408	104659	+	1251.0	NO	NO	NO	NO
SLangusT_00399	Scaffold_2	107954	108997	-	1043.0	NO	NO	NO	Ribosomal protein S9/S16_pfam00380
SLangusT_00400	Scaffold_2	109237	110789	+	1552.0	NO	NO	NO	Glutathione S-transferase, N-terminal domain_pfam02798;Elongation factor 1 gamma, conserved domain_pfam00647;Glutathione S-transferase, C-terminal domain_pfam00043
SLangusT_00401	Scaffold_2	111214	112503	-	1289.0	NO	NO	NO	NLI interacting factor-like phosphatase_pfam03031
SLangusT_00402	Scaffold_2	112711	113665	+	954.0	NO	NO	NO	Domain of unknown function (DUF947)_pfam06102
SLangusT_00403	Scaffold_2	115521	117020	-	1499.0	NO	SignalP_EUK	NO	NO
SLangusT_00404	Scaffold_2	121383	123104	-	1721.0	NO	SignalP_EUK	NO	NO
SLangusT_00405	Scaffold_2	124958	126853	+	1895.0	NO	NO	NO	Ketopantoate reductase PanE/ApbA C terminal_pfam08546
SLangusT_00406	Scaffold_2	133741	134559	-	818.0	NO	NO	NO	NO
SLangusT_00407	Scaffold_2	136410	136773	-	363.0	NO	NO	NO	NO
SLangusT_00408	Scaffold_2	142462	144849	-	2387.0	NO	NO	NO	Vacuolar sorting protein 9 (VPS9) domain_pfam02204
SLangusT_00409	Scaffold_2	145776	147848	+	2072.0	NO	SignalP_EUK	NO	Lipase (class 3)_pfam01764
SLangusT_00410	Scaffold_2	148585	150107	-	1522.0	NO	NO	NO	Paf1_pfam03985
SLangusT_00411	Scaffold_2	150958	151728	-	770.0	NO	NO	NO	Rer1 family_pfam03248
SLangusT_00412	Scaffold_2	152262	153178	+	916.0	NO	NO	NO	Enoyl-CoA hydratase/isomerase_pfam00378
SLangusT_00413	Scaffold_2	154338	155436	-	1098.0	NO	SignalP_EUK	PL1.hmm	Pectate lyase_pfam00544
SLangusT_00414	Scaffold_2	155899	156162	+	263.0	NO	NO	NO	NO
SLangusT_00415	Scaffold_2	157207	157920	-	713.0	NO	NO	NO	GDSL-like Lipase/Acylhydrolase family_pfam13472
SLangusT_00416	Scaffold_2	159509	160033	-	524.0	0.848	NO	NO	Phosphatidylethanolamine-binding protein_pfam01161
SLangusT_00417	Scaffold_2	160593	162050	-	1457.0	NO	NO	NO	Citrate synthase, C-terminal domain_pfam00285
SLangusT_00418	Scaffold_2	163182	164375	+	1193.0	NO	NO	NO	MmgE/PrpD family_pfam03972
SLangusT_00419	Scaffold_2	165124	166127	-	1003.0	NO	NO	NO	NO
SLangusT_00420	Scaffold_2	166446	168111	-	1665.0	NO	NO	NO	Major Facilitator Superfamily_pfam07690
SLangusT_00421	Scaffold_2	168792	169372	+	580.0	NO	NO	NO	NO
SLangusT_00422	Scaffold_2	169469	170080	+	611.0	0.932	NO	NO	NO
SLangusT_00423	Scaffold_2	173431	175122	-	1691.0	NO	NO	GH13.hmm	Domain of unknown function (DUF1966)_pfam09260;Alpha amylase, catalytic domain_pfam00128
SLangusT_00424	Scaffold_2	176373	176613	-	240.0	NO	NO	NO	NO
SLangusT_00425	Scaffold_2	178611	178928	-	317.0	NO	NO	NO	NO
SLangusT_00426	Scaffold_2	180022	181505	-	1483.0	NO	NO	NO	A49-like RNA polymerase I associated factor_pfam06870
SLangusT_00427	Scaffold_2	182389	184405	-	2016.0	NO	NO	NO	Ribosomal protein L41_pfam05162
SLangusT_00428	Scaffold_2	185215	187610	+	2395.0	NO	NO	NO	FHA domain_pfam00498;Protein kinase domain_pfam00069
SLangusT_00429	Scaffold_2	188214	189110	+	896.0	NO	NO	NO	Mitochondrial carrier protein_pfam00153
SLangusT_00430	Scaffold_2	192375	193686	+	1311.0	NO	NO	NO	NO
SLangusT_00431	Scaffold_2	193999	197663	-	3664.0	NO	NO	NO	NO
SLangusT_00432	Scaffold_2	198772	201028	+	2256.0	NO	NO	NO	rRNA processing/ribosome biogenesis_pfam08167
SLangusT_00433	Scaffold_2	205727	206967	+	1240.0	NO	NO	NO	NO
SLangusT_00434	Scaffold_2	212102	212632	+	530.0	NO	SignalP_EUK	NO	NO
SLangusT_00435	Scaffold_2	214006	215972	+	1966.0	NO	SignalP_EUK	CBM18.hmm	Chitin recognition protein_pfam00187;Polysaccharide deacetylase_pfam01522
SLangusT_00436	Scaffold_2	216933	220116	+	3183.0	NO	NO	NO	Calponin homology (CH) domain_pfam00307;Ca2+ insensitive EF hand_pfam08726
SLangusT_00437	Scaffold_2	221235	223043	-	1808.0	NO	NO	NO	IBR domain, a half RING-finger domain_pfam01485
SLangusT_00438	Scaffold_2	229316	231324	-	2008.0	NO	SignalP_EUK	NO	Amidase_pfam01425
SLangusT_00439	Scaffold_2	233072	234567	+	1495.0	NO	SignalP_EUK	NO	Phosphoesterase family_pfam04185
SLangusT_00440	Scaffold_2	236658	237821	+	1163.0	NO	SignalP_EUK	NO	Yeast PIR protein repeat_pfam00399
SLangusT_00441	Scaffold_2	241022	242027	-	1005.0	NO	NO	NO	NO
SLangusT_00442	Scaffold_2	243400	244248	+	848.0	NO	NO	NO	NO
SLangusT_00443	Scaffold_2	245614	246229	+	615.0	NO	NO	NO	NO
SLangusT_00444	Scaffold_2	246647	247689	+	1042.0	NO	NO	NO	NO
SLangusT_00445	Scaffold_2	248458	249648	-	1190.0	NO	NO	NO	Alcohol dehydrogenase GroES-like domain_pfam08240;Zinc-binding dehydrogenase_pfam00107
SLangusT_00446	Scaffold_2	250568	251998	-	1430.0	NO	NO	NO	Bestrophin, RFP-TM, chloride channel_pfam01062
SLangusT_00447	Scaffold_2	252485	253068	-	583.0	NO	NO	NO	Mitochondrial import receptor subunit Tom22_pfam04281
SLangusT_00448	Scaffold_2	253553	255650	+	2097.0	NO	NO	NO	NO
SLangusT_00449	Scaffold_2	257218	261110	+	3892.0	NO	NO	NO	NO
SLangusT_00450	Scaffold_2	268513	270207	-	1694.0	NO	NO	NO	Protein of unknown function (DUF1264)_pfam06884
SLangusT_00451	Scaffold_2	271201	273318	-	2117.0	NO	NO	NO	Metallo-beta-lactamase superfamily_pfam00753;Hydroxyacylglutathione hydrolase C-terminus_pfam16123
SLangusT_00452	Scaffold_2	273673	276783	-	3110.0	NO	NO	NO	Protein of unknown function (DUF4449)_pfam14613
SLangusT_00453	Scaffold_2	279337	281662	-	2325.0	NO	NO	NO	Domain of unknown function (DUF4211)_pfam13926
SLangusT_00454	Scaffold_2	282587	283381	+	794.0	0.976	NO	NO	NO
SLangusT_00455	Scaffold_2	284514	284966	+	452.0	NO	NO	NO	NO
SLangusT_00456	Scaffold_2	286817	287556	+	739.0	0.931	NO	NO	NO
SLangusT_00457	Scaffold_2	287923	288943	-	1020.0	NO	NO	NO	Eukaryotic initiation factor 4E_pfam01652
SLangusT_00458	Scaffold_2	289790	290404	+	614.0	NO	NO	NO	Domain of unknown function (DUF4598)_pfam15370
SLangusT_00459	Scaffold_2	291713	293627	-	1914.0	NO	NO	NO	Kinesin motor domain_pfam00225
SLangusT_00460	Scaffold_2	294272	295004	+	732.0	NO	NO	NO	NO
SLangusT_00461	Scaffold_2	296799	297516	+	717.0	NO	NO	NO	ARD/ARD' family_pfam03079
SLangusT_00462	Scaffold_2	298200	299501	+	1301.0	NO	NO	NO	short chain dehydrogenase_pfam00106
SLangusT_00463	Scaffold_2	299766	300585	-	819.0	NO	NO	NO	Der1-like family_pfam04511
SLangusT_00464	Scaffold_2	301339	302032	+	693.0	NO	NO	NO	Core histone H2A/H2B/H3/H4_pfam00125
SLangusT_00465	Scaffold_2	302357	303558	-	1201.0	NO	NO	NO	GHMP kinases N terminal domain_pfam00288
SLangusT_00466	Scaffold_2	304229	306749	+	2520.0	NO	NO	NO	Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain_pfam01071;AIR synthase related protein, N-terminal domain_pfam00586;AIR synthase related protein, C-terminal domain_pfam02769;Phosphoribosylglycinamide synthetase, C domain_pfam02843;Phosphoribosylglycinamide synthetase, N domain_pfam02844
SLangusT_00467	Scaffold_2	307195	308290	-	1095.0	NO	NO	NO	SOR/SNZ family_pfam01680
SLangusT_00468	Scaffold_2	309828	310601	+	773.0	NO	NO	NO	FUN14 family_pfam04930
SLangusT_00469	Scaffold_2	310865	314736	-	3871.0	NO	NO	NO	NO
SLangusT_00470	Scaffold_2	315646	318066	+	2420.0	NO	NO	NO	Creatinase/Prolidase N-terminal domain_pfam01321;C-terminal region of peptidase_M24_pfam16188;Creatinase/Prolidase N-terminal domain_pfam16189;Metallopeptidase family M24_pfam00557
SLangusT_00471	Scaffold_2	318668	321773	+	3105.0	NO	SignalP_EUK	NO	Sad1 / UNC-like C-terminal_pfam07738
SLangusT_00472	Scaffold_2	323930	327586	-	3656.0	NO	NO	NO	PHD-finger_pfam16866;MOZ/SAS family_pfam01853
SLangusT_00473	Scaffold_2	327819	328763	+	944.0	NO	NO	NO	NADH-ubiquinone oxidoreductase MWFE subunit_pfam15879
SLangusT_00474	Scaffold_2	332080	332453	-	373.0	NO	NO	NO	NO
SLangusT_00475	Scaffold_2	333880	335995	+	2115.0	NO	NO	NO	Major Facilitator Superfamily_pfam07690
SLangusT_00476	Scaffold_2	336005	336737	-	732.0	0.952	NO	NO	NO
SLangusT_00477	Scaffold_2	338141	338513	-	372.0	0.885	NO	NO	Mitochondrial ribosomal protein L27_pfam09809
SLangusT_00478	Scaffold_2	338717	341634	+	2917.0	NO	NO	NO	Utp14 protein_pfam04615
SLangusT_00479	Scaffold_2	342826	343140	-	314.0	0.998	NO	NO	NO
SLangusT_00480	Scaffold_2	345193	348072	+	2879.0	NO	SignalP_EUK	GH81.hmm	Glycosyl hydrolase family 81_pfam03639
SLangusT_00481	Scaffold_2	348713	350263	-	1550.0	NO	NO	NO	Peptidase family M54_pfam07998
SLangusT_00482	Scaffold_2	351114	352280	-	1166.0	NO	NO	NO	Cyclin, N-terminal domain_pfam00134
SLangusT_00483	Scaffold_2	362658	364360	-	1702.0	NO	NO	NO	NO
SLangusT_00484	Scaffold_2	365377	367745	+	2368.0	NO	NO	NO	Acyltransferase_pfam01553
SLangusT_00485	Scaffold_2	369220	369482	+	262.0	1.0	NO	NO	NO
SLangusT_00486	Scaffold_2	370227	372299	+	2072.0	NO	NO	NO	Sodium/calcium exchanger protein_pfam01699
SLangusT_00487	Scaffold_2	373213	374339	-	1126.0	NO	NO	NO	Telomere regulation protein Stn1_pfam10451
SLangusT_00488	Scaffold_2	374864	376190	-	1326.0	NO	NO	NO	DnaJ domain_pfam00226
SLangusT_00494	Scaffold_2	392757	393110	-	353.0	0.916	NO	NO	NO
SLangusT_00509	Scaffold_2	439341	439572	+	231.0	NO	NO	NO	NO
SLangusT_00512	Scaffold_2	446024	446360	-	336.0	NO	NO	NO	NO
SLangusT_00515	Scaffold_2	451138	452078	+	940.0	0.974	NO	NO	NO
SLangusT_00523	Scaffold_2	481785	482493	-	708.0	NO	NO	NO	NO
SLangusT_00524	Scaffold_2	483877	485646	+	1769.0	0.918	NO	NO	NO
SLangusT_00525	Scaffold_2	487464	487845	+	381.0	NO	NO	NO	NO
SLangusT_00534	Scaffold_2	514334	514817	-	483.0	0.91	NO	NO	NO
SLangusT_00538	Scaffold_2	527240	528740	-	1500.0	NO	NO	NO	NO
SLangusT_00539	Scaffold_2	529199	530196	+	997.0	0.937	NO	NO	NO
SLangusT_00540	Scaffold_2	531435	531975	-	540.0	1.0	NO	NO	NO
SLangusT_00545	Scaffold_2	548397	550121	+	1724.0	NO	NO	NO	NO
SLangusT_00551	Scaffold_2	572999	573298	+	299.0	NO	NO	NO	NO
SLangusT_00561	Scaffold_2	598015	598421	+	406.0	NO	NO	NO	NO
SLangusT_00562	Scaffold_2	599408	600213	+	805.0	0.974	NO	NO	NO
SLangusT_00563	Scaffold_2	601138	601541	-	403.0	0.993	NO	NO	RTA1 like protein_pfam04479
SLangusT_00568	Scaffold_2	610063	610808	-	745.0	0.98	NO	NO	NO
SLangusT_00590	Scaffold_2	665591	666730	+	1139.0	NO	NO	NO	NO
SLangusT_00597	Scaffold_2	685895	686327	+	432.0	NO	NO	NO	NO
SLangusT_00598	Scaffold_2	691775	692093	+	318.0	NO	NO	NO	NO
SLangusT_00606	Scaffold_2	717600	718141	+	541.0	0.937	NO	NO	NO
SLangusT_00608	Scaffold_2	720955	721500	-	545.0	NO	NO	NO	NO
SLangusT_00614	Scaffold_2	739457	741124	+	1667.0	NO	NO	NO	NO
SLangusT_00615	Scaffold_2	742585	744738	-	2153.0	NO	NO	GH17.hmm	Glycosyl hydrolases family 17_pfam00332
SLangusT_00616	Scaffold_2	747038	747732	+	694.0	0.992	NO	NO	Isochorismatase family_pfam00857
SLangusT_00617	Scaffold_2	747827	748743	-	916.0	NO	NO	NO	SRR1_pfam07985
SLangusT_00618	Scaffold_2	750993	752065	+	1072.0	NO	SignalP_EUK	NO	NO
SLangusT_00619	Scaffold_2	752910	755370	-	2460.0	NO	NO	NO	PFU (PLAA family ubiquitin binding)_pfam09070;PUL domain_pfam08324;WD domain, G-beta repeat_pfam00400
SLangusT_00620	Scaffold_2	756247	757510	+	1263.0	NO	NO	NO	WD domain, G-beta repeat_pfam00400
SLangusT_00621	Scaffold_2	758932	761635	-	2703.0	NO	NO	NO	Diaphanous GTPase-binding Domain_pfam06371
SLangusT_00622	Scaffold_2	762535	763743	-	1208.0	NO	NO	NO	Sucrase/ferredoxin-like_pfam06999
SLangusT_00623	Scaffold_2	764282	765942	+	1660.0	NO	NO	NO	NO
SLangusT_00624	Scaffold_2	767028	767754	-	726.0	0.998	NO	NO	NO
SLangusT_00625	Scaffold_2	768456	769276	+	820.0	NO	NO	NO	Phosphoribosyl transferase domain_pfam00156
SLangusT_00626	Scaffold_2	769783	771440	-	1657.0	NO	NO	NO	Ubiquitin 3 binding protein But2 C-terminal domain_pfam09792
SLangusT_00627	Scaffold_2	773590	774989	-	1399.0	NO	NO	AA7.hmm	FAD binding domain_pfam01565
SLangusT_00628	Scaffold_2	775281	775809	+	528.0	NO	NO	NO	NO
SLangusT_00629	Scaffold_2	777170	779084	+	1914.0	NO	NO	NO	IBR domain, a half RING-finger domain_pfam01485
SLangusT_00630	Scaffold_2	781594	788911	-	7317.0	NO	NO	NO	Myosin tail_pfam01576;Myosin head (motor domain)_pfam00063;Myosin N-terminal SH3-like domain_pfam02736
SLangusT_00631	Scaffold_2	789847	793871	+	4024.0	NO	NO	NO	Putative zinc-finger domain_pfam10650
SLangusT_00632	Scaffold_2	795127	796828	+	1701.0	NO	NO	NO	Major Facilitator Superfamily_pfam07690
SLangusT_00633	Scaffold_2	798891	799691	-	800.0	NO	SignalP_EUK	NO	NO
SLangusT_00634	Scaffold_2	800453	803096	-	2643.0	NO	NO	NO	RNA12 protein_pfam10443
SLangusT_00635	Scaffold_2	803396	804103	+	707.0	NO	NO	NO	Protein of unknown function (DUF3128)_pfam11326
SLangusT_00636	Scaffold_2	804554	807431	-	2877.0	NO	NO	NO	Spt20 family_pfam12090
SLangusT_00637	Scaffold_2	814712	815640	-	928.0	NO	NO	NO	NO
SLangusT_00638	Scaffold_2	815923	816355	-	432.0	0.934	NO	NO	NO
SLangusT_00639	Scaffold_2	819449	820352	+	903.0	NO	SignalP_EUK	GH12.hmm	Glycosyl hydrolase family 12_pfam01670
SLangusT_00640	Scaffold_2	821359	822112	+	753.0	0.986	NO	NO	Ribosomal protein S19e_pfam01090
SLangusT_00641	Scaffold_2	822311	822826	-	515.0	NO	NO	NO	NO
SLangusT_00642	Scaffold_2	823882	824725	+	843.0	NO	NO	NO	NO
SLangusT_00643	Scaffold_2	825381	827981	+	2600.0	NO	SignalP_EUK	GH92.hmm	Glycosyl hydrolase family 92_pfam07971
SLangusT_00644	Scaffold_2	830478	834432	-	3954.0	NO	NO	NO	NO
SLangusT_00645	Scaffold_2	836280	837861	-	1581.0	NO	SignalP_EUK	CBM1.hmm	Glycosyl hydrolase family 10_pfam00331;Fungal cellulose binding domain_pfam00734
SLangusT_00646	Scaffold_2	842352	842641	-	289.0	NO	NO	NO	NO
SLangusT_00647	Scaffold_2	843783	845369	-	1586.0	NO	SignalP_EUK	GH23.hmm	NO
SLangusT_00648	Scaffold_2	847565	849127	+	1562.0	NO	SignalP_EUK	GH26.hmm	Glycosyl hydrolase family 26_pfam02156
SLangusT_00649	Scaffold_2	849273	850482	-	1209.0	NO	NO	NO	NAD dependent epimerase/dehydratase family_pfam01370
SLangusT_00650	Scaffold_2	851218	852113	-	895.0	0.996	NO	NO	NO
SLangusT_00651	Scaffold_2	852183	853853	-	1670.0	NO	NO	CBM24.hmm	NO
SLangusT_00652	Scaffold_2	853883	856271	-	2388.0	NO	SignalP_EUK	GH71.hmm	Glycosyl hydrolase family 71_pfam03659
SLangusT_00653	Scaffold_2	857282	859263	-	1981.0	NO	NO	NO	NO
SLangusT_00654	Scaffold_3	610	2200	-	1590.0	NO	NO	NO	Major Facilitator Superfamily_pfam07690
SLangusT_00655	Scaffold_3	3258	3784	+	526.0	NO	NO	NO	NO
SLangusT_00656	Scaffold_3	4407	6114	+	1707.0	NO	NO	NO	Fungal Zn(2)-Cys(6) binuclear cluster domain_pfam00172
SLangusT_00657	Scaffold_3	6990	7796	+	806.0	NO	NO	NO	Beta-lactamase superfamily domain_pfam12706
SLangusT_00658	Scaffold_3	11992	12261	+	269.0	NO	NO	NO	NO
SLangusT_00659	Scaffold_3	14513	14842	-	329.0	NO	NO	NO	NO
SLangusT_00660	Scaffold_3	15797	16210	-	413.0	NO	SignalP_EUK	NO	NO
SLangusT_00661	Scaffold_3	19165	21217	-	2052.0	NO	NO	NO	NO
SLangusT_00662	Scaffold_3	21803	25364	-	3561.0	NO	NO	NO	Protein of unknown function (DUF3659)_pfam12396
SLangusT_00663	Scaffold_3	25603	25947	-	344.0	NO	NO	NO	NO
SLangusT_00664	Scaffold_3	27259	30284	-	3025.0	NO	NO	NO	NO
SLangusT_00665	Scaffold_3	31589	32468	-	879.0	NO	NO	NO	NO
SLangusT_00666	Scaffold_3	33440	34141	+	701.0	NO	SignalP_EUK	NO	NO
SLangusT_00667	Scaffold_3	34781	35304	+	523.0	0.997	NO	NO	NO
SLangusT_00668	Scaffold_3	37050	37589	-	539.0	NO	NO	NO	NO
SLangusT_00669	Scaffold_3	37892	38263	-	371.0	0.934	NO	NO	NO
SLangusT_00670	Scaffold_3	38550	39098	-	548.0	0.988	NO	NO	NO
SLangusT_00671	Scaffold_3	39413	39802	-	389.0	NO	NO	NO	NO
SLangusT_00672	Scaffold_3	40113	40709	-	596.0	0.987	NO	NO	NO
SLangusT_00673	Scaffold_3	41247	41514	-	267.0	NO	NO	NO	NO
SLangusT_00674	Scaffold_3	42042	42522	-	480.0	0.936	NO	NO	NO
SLangusT_00675	Scaffold_3	42785	43204	-	419.0	NO	NO	NO	NO
SLangusT_00676	Scaffold_3	43475	44185	-	710.0	NO	NO	NO	NO
SLangusT_00677	Scaffold_3	44709	45533	-	824.0	NO	NO	NO	NO
SLangusT_00678	Scaffold_3	46056	46649	-	593.0	0.834	NO	NO	NO
SLangusT_00679	Scaffold_3	47471	47962	+	491.0	0.897	NO	NO	NO
SLangusT_00680	Scaffold_3	50722	52190	+	1468.0	NO	SignalP_EUK	GH5.hmm	Fungal cellulose binding domain_pfam00734;Cellulase (glycosyl hydrolase family 5)_pfam00150
SLangusT_00681	Scaffold_3	52547	53170	-	623.0	NO	NO	NO	Acetyltransferase (GNAT) family_pfam00583
SLangusT_00682	Scaffold_3	53979	54614	+	635.0	NO	SignalP_EUK	NO	NO
SLangusT_00683	Scaffold_3	56750	57018	-	268.0	0.884	SignalP_EUK	NO	NO
SLangusT_00684	Scaffold_3	61145	62560	-	1415.0	NO	NO	NO	FAD dependent oxidoreductase_pfam01266
SLangusT_00685	Scaffold_3	63419	64201	+	782.0	0.835	NO	NO	Glutathione peroxidase_pfam00255
SLangusT_00686	Scaffold_3	67954	68928	-	974.0	NO	NO	NO	Dihydrodipicolinate synthetase family_pfam00701
SLangusT_00687	Scaffold_3	70651	71990	+	1339.0	NO	NO	GH109.hmm	Oxidoreductase family, NAD-binding Rossmann fold_pfam01408
SLangusT_00688	Scaffold_3	73298	73776	-	478.0	NO	SignalP_EUK	NO	NO
SLangusT_00689	Scaffold_3	76805	78175	-	1370.0	NO	NO	NO	Alcohol dehydrogenase GroES-like domain_pfam08240;Zinc-binding dehydrogenase_pfam00107
SLangusT_00690	Scaffold_3	79611	81959	-	2348.0	NO	NO	NO	Fungal specific transcription factor domain_pfam04082;Fungal Zn(2)-Cys(6) binuclear cluster domain_pfam00172
SLangusT_00691	Scaffold_3	82436	83068	+	632.0	0.848	NO	NO	NO
SLangusT_00692	Scaffold_3	84773	86772	+	1999.0	NO	SignalP_EUK	AA3.hmm	GMC oxidoreductase_pfam00732;GMC oxidoreductase_pfam05199
SLangusT_00693	Scaffold_3	88915	92307	-	3392.0	NO	NO	NO	Male sterility protein_pfam07993;AMP-binding enzyme_pfam00501;Phosphopantetheine attachment site_pfam00550
SLangusT_00694	Scaffold_3	92465	93762	+	1297.0	NO	NO	NO	NO
SLangusT_00695	Scaffold_3	94547	95805	+	1258.0	NO	NO	NO	Aldo/keto reductase family_pfam00248
SLangusT_00696	Scaffold_3	97064	100415	+	3351.0	NO	NO	NO	AMP-binding enzyme_pfam00501;Male sterility protein_pfam07993;Phosphopantetheine attachment site_pfam00550
SLangusT_00697	Scaffold_3	102493	104184	-	1691.0	NO	SignalP_EUK	CE10.hmm	Carboxylesterase family_pfam00135
SLangusT_00698	Scaffold_3	109183	110489	+	1306.0	NO	NO	NO	Protein of unknown function (DUF3435)_pfam11917
SLangusT_00699	Scaffold_3	110662	111735	-	1073.0	NO	NO	NO	NO
SLangusT_00700	Scaffold_3	114996	115950	-	954.0	NO	NO	NO	Haloacid dehalogenase-like hydrolase_pfam13419
SLangusT_00701	Scaffold_3	117256	117582	-	326.0	NO	NO	NO	NO
SLangusT_00702	Scaffold_3	117895	118823	-	928.0	NO	NO	NO	NO
SLangusT_00703	Scaffold_3	120096	121721	+	1625.0	NO	NO	NO	Major Facilitator Superfamily_pfam07690
SLangusT_00704	Scaffold_3	122379	123915	-	1536.0	NO	NO	NO	NO
SLangusT_00705	Scaffold_3	126165	127634	-	1469.0	NO	NO	NO	NO
SLangusT_00706	Scaffold_3	127872	128642	-	770.0	NO	NO	NO	NO
SLangusT_00707	Scaffold_3	132745	134207	-	1462.0	NO	NO	NO	O-methyltransferase_pfam00891
SLangusT_00708	Scaffold_3	134662	136018	-	1356.0	NO	NO	NO	O-methyltransferase_pfam00891
SLangusT_00709	Scaffold_3	136172	137380	+	1208.0	0.818	NO	NO	NO
SLangusT_00710	Scaffold_3	138507	139172	-	665.0	0.983	NO	NO	NO
SLangusT_00711	Scaffold_3	140865	143742	+	2877.0	NO	NO	NO	AMP-binding enzyme_pfam00501;Thioesterase domain_pfam00975;Phosphopantetheine attachment site_pfam00550
SLangusT_00712	Scaffold_3	144321	145485	+	1164.0	NO	NO	NO	NAD binding domain of 6-phosphogluconate dehydrogenase_pfam03446
SLangusT_00713	Scaffold_3	145881	146862	-	981.0	NO	NO	NO	Glutathione S-transferase, N-terminal domain_pfam02798;Glutathione S-transferase, C-terminal domain_pfam00043
SLangusT_00714	Scaffold_3	147424	149552	+	2128.0	NO	NO	NO	Major Facilitator Superfamily_pfam07690
SLangusT_00715	Scaffold_3	150203	151871	+	1668.0	NO	NO	NO	Cytochrome P450_pfam00067
SLangusT_00716	Scaffold_3	152718	153953	-	1235.0	NO	NO	NO	NO
SLangusT_00717	Scaffold_3	155055	156402	-	1347.0	NO	NO	NO	Transaldolase/Fructose-6-phosphate aldolase_pfam00923
SLangusT_00718	Scaffold_3	157079	157429	+	350.0	NO	NO	NO	NO
